"Gene name","Description","Control","Stimulus1","Stimulus2"
"NKIRAS1","NFKB inhibitor interacting Ras like 1","2","0","0"
"FAM91A1","family with sequence similarity 91 member A1","16","2","26"
"MYLIP","myosin regulatory light chain interacting protein","23","2","29"
"SNURF","SNRPN upstream reading frame","26","2","6"
"IGFBP2","insulin like growth factor binding protein 2","18","2","4"
"LIN7A","lin-7 homolog A, crumbs cell polarity complex component","3","2","4"
"TDP1","tyrosyl-DNA phosphodiesterase 1","6","2","28"
"ZCCHC9","zinc finger CCHC-type containing 9","26","2","24"
"C11orf71","chromosome 11 open reading frame 71","14","2","20"
"ARPC1B","actin related protein 2/3 complex subunit 1B","0","2","0"
"NLRP2","NLR family pyrin domain containing 2","0","2","0"
"CRY2","cryptochrome circadian clock 2","0","2","0"
"SYNGR1","synaptogyrin 1","0","2","0"
"MRPS23","mitochondrial ribosomal protein S23","18","22","2"
"POLR2L","RNA polymerase II subunit L","6","15","2"
"PKIB","cAMP-dependent protein kinase inhibitor beta","9","15","2"
"FLOT2","flotillin 2","15","24","2"
"NEUROG3","neurogenin 3","0","0","2"
"LYSMD3","LysM domain containing 3","0","0","2"
"SAR1B","secretion associated Ras related GTPase 1B","3","5","25"
"SLAMF9","SLAM family member 9","3","6","24"
"PLEKHH1","pleckstrin homology, MyTH4 and FERM domain containing H1","3","21","9"
"RNH1","ribonuclease/angiogenin inhibitor 1","3","24","7"
"PANK2","pantothenate kinase 2","3","15","4"
"MALRD1","MAM and LDL receptor class A domain containing 1","3","18","11"
"RPS10-NUDT3","RPS10-NUDT3 readthrough","3","24","11"
"SYNPO","synaptopodin","3","4","9"
"FAM218A","family with sequence similarity 218 member A","3","26","22"
"YOD1","YOD1 deubiquitinase","3","11","10"
"C9orf139","chromosome 9 open reading frame 139","3","13","30"
"ARHGAP21","Rho GTPase activating protein 21","3","11","16"
"CHST15","carbohydrate sulfotransferase 15","3","21","28"
"SPRYD7","SPRY domain containing 7","3","21","20"
"FCGR2C","Fc fragment of IgG receptor IIc (gene/pseudogene)","3","0","0"
"SMOX","spermine oxidase","3","0","0"
"RPS5","ribosomal protein S5","3","0","0"
"R3HCC1L","R3H domain and coiled-coil containing 1 like","3","0","0"
"MRPL40","mitochondrial ribosomal protein L40","3","0","0"
"GLB1L2","galactosidase beta 1 like 2","3","0","0"
"DKC1","dyskerin pseudouridine synthase 1","7","3","23"
"SLC27A2","solute carrier family 27 member 2","23","3","8"
"KIF13A","kinesin family member 13A","17","3","27"
"GOLGA8H","golgin A8 family member H","28","3","27"
"FAM19A4","family with sequence similarity 19 member A4, C-C motif chemokine like","6","3","29"
"BMP8B","bone morphogenetic protein 8b","23","3","20"
"DPPA2","developmental pluripotency associated 2","23","3","25"
"DPYSL3","dihydropyrimidinase like 3","26","3","21"
"SLCO1B3","solute carrier organic anion transporter family member 1B3","24","3","23"
"DYNLRB2","dynein light chain roadblock-type 2","24","3","4"
"PDX1","pancreatic and duodenal homeobox 1","17","3","27"
"NRIP1","nuclear receptor interacting protein 1","29","3","4"
"SPR","sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)","22","3","22"
"METTL8","methyltransferase like 8","20","3","27"
"FPGT-TNNI3K","FPGT-TNNI3K readthrough","0","3","0"
"SIN3A","SIN3 transcription regulator family member A","0","3","0"
"PCTP","phosphatidylcholine transfer protein","7","30","3"
"ENO2","enolase 2","16","17","3"
"EPSTI1","epithelial stromal interaction 1","17","12","3"
"CDK12","cyclin dependent kinase 12","24","11","3"
"CYCS","cytochrome c, somatic","22","14","3"
"NOL12","nucleolar protein 12","28","15","3"
"EPHX1","epoxide hydrolase 1","11","29","3"
"MLLT1","MLLT1, super elongation complex subunit","7","11","3"
"VPS13A","vacuolar protein sorting 13 homolog A","9","16","3"
"ITIH5","inter-alpha-trypsin inhibitor heavy chain family member 5","24","22","3"
"SMPDL3A","sphingomyelin phosphodiesterase acid like 3A","20","18","3"
"MTAP","methylthioadenosine phosphorylase","13","28","3"
"TBX19","T-box 19","5","16","3"
"LIN28B","lin-28 homolog B","0","0","3"
"KLF1","Kruppel like factor 1","0","0","3"
"NDUFS8","NADH:ubiquinone oxidoreductase core subunit S8","0","0","3"
"HIF1AN","hypoxia inducible factor 1 alpha subunit inhibitor","0","0","3"
"PWWP2A","PWWP domain containing 2A","4","16","15"
"MAN1A2","mannosidase alpha class 1A member 2","4","14","9"
"ATG4B","autophagy related 4B cysteine peptidase","4","27","29"
"NGB","neuroglobin","4","13","16"
"ZFYVE21","zinc finger FYVE-type containing 21","4","8","13"
"USP24","ubiquitin specific peptidase 24","4","0","0"
"OR2T2","olfactory receptor family 2 subfamily T member 2","4","0","0"
"C19orf47","chromosome 19 open reading frame 47","4","0","0"
"XRRA1","X-ray radiation resistance associated 1","4","0","0"
"SMARCD1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1","4","0","0"
"GEMIN2","gem nuclear organelle associated protein 2","25","4","4"
"FAM160A2","family with sequence similarity 160 member A2","13","4","12"
"CUL5","cullin 5","8","4","21"
"RIPPLY1","ripply transcriptional repressor 1","27","4","16"
"GPM6B","glycoprotein M6B","7","4","4"
"RD3L","retinal degeneration 3-like","9","4","7"
"NR2E1","nuclear receptor subfamily 2 group E member 1","21","4","5"
"CPNE6","copine 6","24","4","12"
"ADGRB1","adhesion G protein-coupled receptor B1","29","4","14"
"MYBPH","myosin binding protein H","10","4","12"
"WISP3","WNT1 inducible signaling pathway protein 3","0","4","0"
"SMIM27","small integral membrane protein 27","6","27","4"
"MT1B","metallothionein 1B","26","10","4"
"CLDN9","claudin 9","14","15","4"
"RHPN2","rhophilin Rho GTPase binding protein 2","22","10","4"
"USP28","ubiquitin specific peptidase 28","0","0","4"
"CADM1","cell adhesion molecule 1","0","0","4"
"RLF","rearranged L-myc fusion","0","0","4"
"POLI","DNA polymerase iota","5","10","16"
"CTF1","cardiotrophin 1","5","21","13"
"REG3A","regenerating family member 3 alpha","5","30","22"
"TBC1D10C","TBC1 domain family member 10C","5","24","9"
"KRT222","keratin 222","5","29","27"
"DUSP21","dual specificity phosphatase 21","5","0","0"
"POLR2K","RNA polymerase II subunit K","5","0","0"
"VRK3","vaccinia related kinase 3","5","0","0"
"RHOV","ras homolog family member V","24","5","21"
"FGF9","fibroblast growth factor 9","18","5","26"
"ZNF84","zinc finger protein 84","18","5","7"
"KMO","kynurenine 3-monooxygenase","18","5","18"
"NXPE2","neurexophilin and PC-esterase domain family member 2","16","5","21"
"GPR183","G protein-coupled receptor 183","18","5","6"
"OR6J1","olfactory receptor family 6 subfamily J member 1 (gene/pseudogene)","0","5","0"
"RBM26","RNA binding motif protein 26","0","5","0"
"BCO2","beta-carotene oxygenase 2","0","5","0"
"RCOR1","REST corepressor 1","22","18","5"
"KLF8","Kruppel like factor 8","23","14","5"
"C7orf33","chromosome 7 open reading frame 33","29","9","5"
"METTL13","methyltransferase like 13","9","21","5"
"STC2","stanniocalcin 2","20","9","5"
"MSC","musculin","0","0","5"
"RFTN1","raftlin, lipid raft linker 1","0","0","5"
"GREM2","gremlin 2, DAN family BMP antagonist","0","0","5"
"NCSTN","nicastrin","6","6","20"
"ACADM","acyl-CoA dehydrogenase, C-4 to C-12 straight chain","6","23","27"
"ADGRF4","adhesion G protein-coupled receptor F4","6","20","15"
"SP140","SP140 nuclear body protein","6","7","11"
"LY9","lymphocyte antigen 9","6","21","11"
"KCTD4","potassium channel tetramerization domain containing 4","6","25","11"
"PARP9","poly(ADP-ribose) polymerase family member 9","6","10","17"
"HS3ST3A1","heparan sulfate-glucosamine 3-sulfotransferase 3A1","6","10","18"
"KCTD1","potassium channel tetramerization domain containing 1","6","0","0"
"TEAD4","TEA domain transcription factor 4","6","0","0"
"SPSB2","splA/ryanodine receptor domain and SOCS box containing 2","6","0","0"
"ISG20","interferon stimulated exonuclease gene 20","6","0","0"
"BMP5","bone morphogenetic protein 5","17","6","21"
"MRPL57","mitochondrial ribosomal protein L57","27","6","28"
"NRP2","neuropilin 2","22","6","24"
"OR7C2","olfactory receptor family 7 subfamily C member 2","8","6","16"
"ISX","intestine specific homeobox","9","18","6"
"BTBD16","BTB domain containing 16","29","10","6"
"PHF8","PHD finger protein 8","30","17","6"
"MTRF1","mitochondrial translation release factor 1","29","30","6"
"CAAP1","caspase activity and apoptosis inhibitor 1","8","7","6"
"WNT2B","Wnt family member 2B","7","11","6"
"CCDC66","coiled-coil domain containing 66","7","12","6"
"ADAM11","ADAM metallopeptidase domain 11","7","13","6"
"INCENP","inner centromere protein","30","14","6"
"GDF15","growth differentiation factor 15","23","29","6"
"GADD45A","growth arrest and DNA damage inducible alpha","0","0","6"
"SP9","Sp9 transcription factor","0","0","6"
"CYP4F2","cytochrome P450 family 4 subfamily F member 2","0","0","6"
"NPR3","natriuretic peptide receptor 3","7","18","25"
"KCNC4","potassium voltage-gated channel subfamily C member 4","7","21","24"
"STOM","stomatin","7","26","27"
"SPATA31D4","SPATA31 subfamily D member 4","7","11","18"
"GAB1","GRB2 associated binding protein 1","7","9","22"
"DPP9","dipeptidyl peptidase 9","7","13","20"
"ASPG","asparaginase","7","28","29"
"TRIM64C","tripartite motif containing 64C","7","11","22"
"ZNF732","zinc finger protein 732","7","30","20"
"INTS6","integrator complex subunit 6","7","23","10"
"SMIM11A","small integral membrane protein 11A","7","22","27"
"NINL","ninein like","7","11","24"
"ZNF778","zinc finger protein 778","7","9","18"
"ACOXL","acyl-CoA oxidase like","22","7","14"
"RSPO4","R-spondin 4","24","7","10"
"BSX","brain specific homeobox","21","7","12"
"HSPB2","heat shock protein family B (small) member 2","16","7","18"
"GALNT6","polypeptide N-acetylgalactosaminyltransferase 6","18","7","26"
"GMEB2","glucocorticoid modulatory element binding protein 2","28","7","24"
"SLC25A33","solute carrier family 25 member 33","18","7","30"
"DGKI","diacylglycerol kinase iota","24","7","24"
"SPANXN5","SPANX family member N5","0","7","0"
"CEACAM21","carcinoembryonic antigen related cell adhesion molecule 21","0","7","0"
"HIST1H2AC","histone cluster 1 H2A family member c","0","7","0"
"IL5","interleukin 5","0","7","0"
"C2orf15","chromosome 2 open reading frame 15","0","7","0"
"CDK17","cyclin dependent kinase 17","22","21","7"
"FTL","ferritin light chain","21","9","7"
"C22orf15","chromosome 22 open reading frame 15","9","29","7"
"ATP2B1","ATPase plasma membrane Ca2+ transporting 1","28","26","7"
"OR2M2","olfactory receptor family 2 subfamily M member 2","25","22","7"
"NKAP","NFKB activating protein","26","25","7"
"GSG1L","GSG1 like","29","30","7"
"TAS2R50","taste 2 receptor member 50","27","22","7"
"ARF6","ADP ribosylation factor 6","0","0","7"
"CACNB4","calcium voltage-gated channel auxiliary subunit beta 4","0","0","7"
"TBC1D8","TBC1 domain family member 8","8","22","21"
"LIPE","lipase E, hormone sensitive type","8","8","22"
"TBX2","T-box 2","8","29","8"
"SPACA9","sperm acrosome associated 9","8","10","27"
"C15orf53","chromosome 15 open reading frame 53","8","25","15"
"MS4A10","membrane spanning 4-domains A10","8","25","22"
"GHITM","growth hormone inducible transmembrane protein","8","22","29"
"GALNS","galactosamine (N-acetyl)-6-sulfatase","8","0","0"
"ARHGDIA","Rho GDP dissociation inhibitor alpha","30","8","11"
"C5orf49","chromosome 5 open reading frame 49","13","8","22"
"BPIFB4","BPI fold containing family B member 4","25","8","18"
"PROB1","proline rich basic protein 1","0","8","0"
"TECR","trans-2,3-enoyl-CoA reductase","0","8","0"
"NOXA1","NADPH oxidase activator 1","0","8","0"
"IGLL1","immunoglobulin lambda like polypeptide 1","25","22","8"
"ABLIM2","actin binding LIM protein family member 2","15","16","8"
"HOXA2","homeobox A2","30","9","8"
"PLA2G2D","phospholipase A2 group IID","18","27","8"
"FUS","FUS RNA binding protein","0","0","8"
"SPARCL1","SPARC like 1","0","0","8"
"EGR1","early growth response 1","0","0","8"
"PIGA","phosphatidylinositol glycan anchor biosynthesis class A","0","0","8"
"RXFP2","relaxin/insulin like family peptide receptor 2","0","0","8"
"DMP1","dentin matrix acidic phosphoprotein 1","9","11","14"
"GALR2","galanin receptor 2","9","29","12"
"RRP8","ribosomal RNA processing 8, methyltransferase, homolog (yeast)","9","26","13"
"ZMAT4","zinc finger matrin-type 4","9","26","30"
"HS6ST2","heparan sulfate 6-O-sulfotransferase 2","9","15","12"
"RHOH","ras homolog family member H","9","21","20"
"NPTX1","neuronal pentraxin 1","9","18","18"
"TCEANC2","transcription elongation factor A N-terminal and central domain containing 2","9","18","20"
"IL17A","interleukin 17A","9","12","11"
"ZNF660","zinc finger protein 660","20","9","24"
"ACO2","aconitase 2","22","9","27"
"MYF5","myogenic factor 5","28","9","12"
"DVL2","dishevelled segment polarity protein 2","15","9","24"
"TMC2","transmembrane channel like 2","17","9","24"
"ZNF805","zinc finger protein 805","17","28","9"
"OR4C13","olfactory receptor family 4 subfamily C member 13","20","24","9"
"GOLGA6L22","golgin A6 family-like 22","29","24","9"
"CCR10","C-C motif chemokine receptor 10","28","21","9"
"LSM11","LSM11, U7 small nuclear RNA associated","26","12","9"
"OR6C6","olfactory receptor family 6 subfamily C member 6","23","26","9"
"DDX53","DEAD-box helicase 53","0","0","9"
"TRIL","TLR4 interactor with leucine rich repeats","0","0","9"
"NUFIP2","NUFIP2, FMR1 interacting protein 2","0","0","9"
"FCRL4","Fc receptor like 4","0","0","9"
"STIP1","stress induced phosphoprotein 1","0","0","9"
"CHMP4A","charged multivesicular body protein 4A","10","13","26"
"DISP3","dispatched RND transporter family member 3","10","19","10"
"CNOT11","CCR4-NOT transcription complex subunit 11","10","0","0"
"SYNGR2","synaptogyrin 2","10","0","0"
"FGB","fibrinogen beta chain","28","10","22"
"FTMT","ferritin mitochondrial","16","10","20"
"FANCL","Fanconi anemia complementation group L","21","10","25"
"DNAJC11","DnaJ heat shock protein family (Hsp40) member C11","17","10","23"
"RASGRF1","Ras protein specific guanine nucleotide releasing factor 1","25","10","25"
"ZFX","zinc finger protein, X-linked","19","10","30"
"HSPA12A","heat shock protein family A (Hsp70) member 12A","21","27","10"
"EMP2","epithelial membrane protein 2","30","22","10"
"GHRL","ghrelin and obestatin prepropeptide","0","0","10"
"LAMC1","laminin subunit gamma 1","0","0","10"
"PROK2","prokineticin 2","0","0","10"
"GBA2","glucosylceramidase beta 2","0","0","10"
"TMEM204","transmembrane protein 204","11","24","24"
"SSFA2","sperm specific antigen 2","11","27","16"
"NCAPD2","non-SMC condensin I complex subunit D2","11","12","17"
"ACVR2A","activin A receptor type 2A","11","17","27"
"ADGRD1","adhesion G protein-coupled receptor D1","11","11","29"
"OBSCN","obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF","11","0","0"
"UBE4A","ubiquitination factor E4A","11","0","0"
"CASP4","caspase 4","21","11","14"
"GMPR","guanosine monophosphate reductase","21","11","18"
"RAB3GAP1","RAB3 GTPase activating protein catalytic subunit 1","30","11","27"
"ARHGDIB","Rho GDP dissociation inhibitor beta","18","11","24"
"PIK3R6","phosphoinositide-3-kinase regulatory subunit 6","0","11","0"
"ZNF816-ZNF321P","ZNF816-ZNF321P readthrough","0","11","0"
"COX7C","cytochrome c oxidase subunit 7C","0","11","0"
"APOL1","apolipoprotein L1","0","11","0"
"SEPHS2","selenophosphate synthetase 2","0","11","0"
"PARVB","parvin beta","0","11","0"
"S100A7L2","S100 calcium binding protein A7 like 2","22","29","11"
"ZIK1","zinc finger protein interacting with K protein 1","16","12","11"
"RIPK1","receptor interacting serine/threonine kinase 1","23","22","11"
"TBC1D17","TBC1 domain family member 17","0","0","11"
"LRRC38","leucine rich repeat containing 38","0","0","11"
"CLVS1","clavesin 1","0","0","11"
"GBX1","gastrulation brain homeobox 1","12","30","18"
"RABIF","RAB interacting factor","12","16","16"
"MED22","mediator complex subunit 22","12","29","22"
"KCNK2","potassium two pore domain channel subfamily K member 2","12","28","13"
"SMG6","SMG6, nonsense mediated mRNA decay factor","12","0","0"
"ZNF469","zinc finger protein 469","14","12","13"
"MTCH2","mitochondrial carrier 2","18","12","24"
"NODAL","nodal growth differentiation factor","21","12","18"
"PPIAL4E","peptidylprolyl isomerase A like 4E","0","12","0"
"TM4SF4","transmembrane 4 L six family member 4","0","12","0"
"CEBPG","CCAAT/enhancer binding protein gamma","0","12","0"
"KIFAP3","kinesin associated protein 3","0","12","0"
"MED23","mediator complex subunit 23","0","12","0"
"GINS4","GINS complex subunit 4","0","12","0"
"GRIA1","glutamate ionotropic receptor AMPA type subunit 1","20","18","12"
"SLC25A45","solute carrier family 25 member 45","15","23","12"
"TCF7L1","transcription factor 7 like 1","23","28","12"
"GAGE13","G antigen 13","23","18","12"
"TMOD4","tropomodulin 4","14","21","12"
"ACAN","aggrecan","0","0","12"
"SMC1A","structural maintenance of chromosomes 1A","13","22","26"
"PTPRD","protein tyrosine phosphatase, receptor type D","13","17","24"
"KRTAP5-7","keratin associated protein 5-7","13","23","16"
"RBMY1C","RNA binding motif protein, Y-linked, family 1, member C","13","22","24"
"ATG101","autophagy related 101","13","29","22"
"LUM","lumican","13","0","0"
"CDK10","cyclin dependent kinase 10","13","0","0"
"CASS4","Cas scaffolding protein family member 4","13","0","0"
"PGA5","pepsinogen 5, group I (pepsinogen A)","13","0","0"
"RPS7","ribosomal protein S7","13","0","0"
"KAZALD1","Kazal type serine peptidase inhibitor domain 1","20","13","26"
"DBN1","drebrin 1","16","13","28"
"CTAGE8","CTAGE family member 8","24","13","17"
"FCF1","FCF1 rRNA-processing protein","14","13","24"
"U2AF1L4","U2 small nuclear RNA auxiliary factor 1 like 4","16","13","24"
"LAMTOR2","late endosomal/lysosomal adaptor, MAPK and MTOR activator 2","0","13","0"
"LYAR","Ly1 antibody reactive","0","13","0"
"ZNF841","zinc finger protein 841","0","13","0"
"FOXM1","forkhead box M1","0","13","0"
"EFCAB13","EF-hand calcium binding domain 13","20","14","13"
"POLA1","DNA polymerase alpha 1, catalytic subunit","24","15","13"
"TMEM185A","transmembrane protein 185A","20","27","13"
"SLC25A31","solute carrier family 25 member 31","26","17","13"
"PDCD10","programmed cell death 10","0","0","13"
"TEX29","testis expressed 29","0","0","13"
"PRNP","prion protein","0","0","13"
"ENO3","enolase 3","14","27","20"
"NTF3","neurotrophin 3","14","16","21"
"CYP7A1","cytochrome P450 family 7 subfamily A member 1","14","17","24"
"FAM20B","FAM20B, glycosaminoglycan xylosylkinase","14","21","18"
"CRHR1","corticotropin releasing hormone receptor 1","14","0","0"
"PABPC1L2A","poly(A) binding protein cytoplasmic 1 like 2A","14","0","0"
"CCDC8","coiled-coil domain containing 8","14","0","0"
"HLA-DQB1","major histocompatibility complex, class II, DQ beta 1","14","0","0"
"KCNQ5","potassium voltage-gated channel subfamily Q member 5","14","0","0"
"SPINK9","serine peptidase inhibitor, Kazal type 9","14","0","0"
"SPAG16","sperm associated antigen 16","27","14","23"
"DENND6A","DENN domain containing 6A","28","14","27"
"PRDM2","PR/SET domain 2","25","26","14"
"COX17","COX17, cytochrome c oxidase copper chaperone","21","16","14"
"HAUS2","HAUS augmin like complex subunit 2","22","20","14"
"UQCRH","ubiquinol-cytochrome c reductase hinge protein","16","30","14"
"ZNF131","zinc finger protein 131","28","30","14"
"SMIM8","small integral membrane protein 8","27","20","14"
"KPNA4","karyopherin subunit alpha 4","0","0","14"
"PRDM15","PR/SET domain 15","0","0","14"
"SPATA5L1","spermatogenesis associated 5 like 1","0","0","14"
"TMEM5","transmembrane protein 5","0","0","14"
"ZNF821","zinc finger protein 821","15","16","24"
"BCS1L","BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone","15","26","28"
"OPN1MW3","opsin 1, medium wave sensitive 3","15","18","26"
"ART3","ADP-ribosyltransferase 3","15","0","0"
"PSMG2","proteasome assembly chaperone 2","15","0","0"
"DAZ3","deleted in azoospermia 3","25","15","15"
"UBE2Z","ubiquitin conjugating enzyme E2 Z","30","15","24"
"USPL1","ubiquitin specific peptidase like 1","27","15","21"
"NRDE2","NRDE-2, necessary for RNA interference, domain containing","16","15","15"
"CXorf49","chromosome X open reading frame 49","22","15","16"
"OAS3","2'-5'-oligoadenylate synthetase 3","26","15","17"
"RBPJL","recombination signal binding protein for immunoglobulin kappa J region like","26","15","18"
"LCTL","lactase like","0","15","0"
"FOXC2","forkhead box C2","0","15","0"
"SLC25A18","solute carrier family 25 member 18","0","15","0"
"PBDC1","polysaccharide biosynthesis domain containing 1","25","22","15"
"MSGN1","mesogenin 1","27","20","15"
"SMARCAD1","SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1","29","21","15"
"TMEM225","transmembrane protein 225","0","0","15"
"NOLC1","nucleolar and coiled-body phosphoprotein 1","16","18","27"
"CTXN2","cortexin 2","16","21","29"
"HOXA6","homeobox A6","16","26","20"
"LAMA3","laminin subunit alpha 3","16","0","0"
"WDR60","WD repeat domain 60","16","0","0"
"LYSMD1","LysM domain containing 1","16","0","0"
"LEXM","lymphocyte expansion molecule","16","0","0"
"ORC2","origin recognition complex subunit 2","16","0","0"
"YARS","tyrosyl-tRNA synthetase","16","0","0"
"ODF3L2","outer dense fiber of sperm tails 3 like 2","21","16","18"
"SLC25A28","solute carrier family 25 member 28","26","16","24"
"MYF6","myogenic factor 6","20","16","24"
"CTSG","cathepsin G","17","16","20"
"TMEM216","transmembrane protein 216","0","16","0"
"SMIM10","small integral membrane protein 10","0","16","0"
"SHROOM1","shroom family member 1","0","16","0"
"NDUFAF6","NADH:ubiquinone oxidoreductase complex assembly factor 6","0","16","0"
"TACR3","tachykinin receptor 3","0","16","0"
"MPHOSPH6","M-phase phosphoprotein 6","0","16","0"
"SLC29A2","solute carrier family 29 member 2","21","17","16"
"LBX1","ladybird homeobox 1","23","27","16"
"KLHL22","kelch like family member 22","0","0","16"
"TRIM64","tripartite motif containing 64","0","0","16"
"SOGA3","SOGA family member 3","0","0","16"
"MTRNR2L7","MT-RNR2-like 7","0","0","16"
"OR4S2","olfactory receptor family 4 subfamily S member 2","17","26","24"
"C15orf56","chromosome 15 open reading frame 56","17","30","22"
"TXLNG","taxilin gamma","17","27","18"
"ARHGAP11A","Rho GTPase activating protein 11A","17","18","30"
"FAM72C","family with sequence similarity 72 member C","17","0","0"
"ACTR3B","ARP3 actin related protein 3 homolog B","17","0","0"
"NAT8L","N-acetyltransferase 8 like","17","0","0"
"UPRT","uracil phosphoribosyltransferase homolog","17","0","0"
"LYZL1","lysozyme like 1","29","17","24"
"RARS","arginyl-tRNA synthetase","21","17","27"
"OR10J4","olfactory receptor family 10 subfamily J member 4 (gene/pseudogene)","30","17","26"
"RBBP7","RB binding protein 7, chromatin remodeling factor","18","17","21"
"REEP4","receptor accessory protein 4","20","17","21"
"TFB1M","transcription factor B1, mitochondrial","28","17","21"
"CCNE2","cyclin E2","0","17","0"
"NCOA2","nuclear receptor coactivator 2","0","17","0"
"MXD4","MAX dimerization protein 4","0","17","0"
"RABL3","RAB, member of RAS oncogene family like 3","29","22","17"
"FAM133A","family with sequence similarity 133 member A","18","27","17"
"LASP1","LIM and SH3 protein 1","25","21","17"
"PGF","placental growth factor","24","21","17"
"DHPS","deoxyhypusine synthase","0","0","17"
"CALD1","caldesmon 1","0","0","17"
"A2ML1","alpha-2-macroglobulin like 1","0","0","17"
"PLPPR1","phospholipid phosphatase related 1","0","0","17"
"PYGL","glycogen phosphorylase L","0","0","17"
"POP4","POP4 homolog, ribonuclease P/MRP subunit","18","24","24"
"NUP35","nucleoporin 35","18","27","26"
"CCDC70","coiled-coil domain containing 70","18","29","27"
"SEMA5B","semaphorin 5B","18","25","21"
"ZDHHC13","zinc finger DHHC-type containing 13","18","22","22"
"SEPSECS","Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase","18","0","0"
"PFDN6","prefoldin subunit 6","18","0","0"
"OLFM1","olfactomedin 1","18","0","0"
"GRIK1","glutamate ionotropic receptor kainate type subunit 1","18","0","0"
"C2orf68","chromosome 2 open reading frame 68","18","0","0"
"SMIM26","small integral membrane protein 26","18","0","0"
"TBC1D3D","TBC1 domain family member 3D","27","18","22"
"PPP1R35","protein phosphatase 1 regulatory subunit 35","30","18","30"
"FAM219A","family with sequence similarity 219 member A","27","18","27"
"BPY2B","basic charge, Y-linked, 2B","22","18","26"
"SH3BGRL3","SH3 domain binding glutamate rich protein like 3","0","18","0"
"HRASLS5","HRAS like suppressor family member 5","26","28","18"
"TGIF2LX","TGFB induced factor homeobox 2 like, X-linked","26","26","18"
"TMEM251","transmembrane protein 251","0","0","18"
"ITGB3","integrin subunit beta 3","0","0","18"
"FAP","fibroblast activation protein alpha","19","22","19"
