"Accession","Description","0hr","2hr","6hr","12hr","24hr","48hr","72hr"
"NCAPG2","non-SMC condensin II complex subunit G2","0.5","0.9573","0.4399","0.2713","0.8919","0.4632","0.7126"
"SCD5","stearoyl-CoA desaturase 5","0.5","0.6076","0.4042","0.7281","0.6219","0.5143","0.5525"
"GOLGA8B","golgin A8 family member B","0.5","0.5706","0.8974","0.9197","0.8969","0.5896","0.797"
"MINDY4","MINDY lysine 48 deubiquitinase 4","0.5","0.7556","0.6689","0.736","0.8081","0.5843","0.4393"
"ARHGEF9","Cdc42 guanine nucleotide exchange factor 9","0.5","0.9703","0.5277","0.4878","0.4369","0.8246","0.8762"
"C17orf58","chromosome 17 open reading frame 58","0.5","0.1799","0.664","0.4313","0.2309","0.5345","0.9272"
"B3GNT4","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4","0.5","0.7385","0.4771","0.8133","0.839","0.0596","0.8742"
"LIM2","lens intrinsic membrane protein 2","0.5","0.6942","0.6655","0.333","0.1178","0.2772","0.2893"
"ZNF30","zinc finger protein 30","0.5","0.2873","0.9325","0.2192","0.1348","0.8295","0.4945"
"PCDHGB1","protocadherin gamma subfamily B, 1","0.5","0.9353","0.9889","0.5227","0.6013","0.4612","0.0336"
"AFMID","arylformamidase","0.5","0.3229","0.9149","0.3138","0.8034","0.3498","0.5409"
"MDP1","magnesium dependent phosphatase 1","0.5","0.333","0.8041","0.7592","0.8721","0.0064","0.3478"
"CLIP4","CAP-Gly domain containing linker protein family member 4","0.5","0.4842","0.0212","0.9891","0.474","0.775","0.1995"
"COL6A3","collagen type VI alpha 3 chain","0.5","0.9684","0.3578","0.1499","0.1881","0.1689","0.834"
"ZSCAN20","zinc finger and SCAN domain containing 20","0.5","0.911","0.7776","0.7499","0.6021","0.8637","0.1837"
"SPTB","spectrin beta, erythrocytic","0.5","0.2006","0.0986","0.2685","0.3978","0.3599","0.8081"
"DEFB106A","defensin beta 106A","0.5","0.383","0.3896","0.2914","0.5007","0.5174","0.0838"
"MAG","myelin associated glycoprotein","0.5","0.8105","0.0568","0.3849","0.0436","0.9497","0.0577"
"GRAMD1B","GRAM domain containing 1B","0.5","0.1586","0.8673","0.8765","0.3651","0.8587","0.9769"
"SBF1","SET binding factor 1","0.5","0.8597","0.2817","0.2473","0.0627","0.8542","0.2536"
"HAP1","huntingtin associated protein 1","0.5","0.3723","0.9404","0.1448","0.4107","0.0329","0.9649"
"HIST1H3G","histone cluster 1 H3 family member g","0.5","0.419","0.6802","0.2774","0.8584","0.6056","0.7937"
"C2orf54","chromosome 2 open reading frame 54","0.5","0.549","0.535","0.3625","0.2671","0.8973","0.3596"
"LYL1","LYL1, basic helix-loop-helix family member","0.5","0.8975","0.6505","0.0689","0.1768","0.094","0.4788"
"PSG7","pregnancy specific beta-1-glycoprotein 7 (gene/pseudogene)","0.5","0.8123","0.466","0.3706","0.2951","0.7413","0.1122"
"AIG1","androgen induced 1","0.5","0.2487","0.5053","0.9233","0.715","0.2475","0.0656"
"ARHGAP42","Rho GTPase activating protein 42","0.5","0.8968","0.9317","0.006","0.2229","0.5216","0.6112"
"OR6B3","olfactory receptor family 6 subfamily B member 3","0.5","0.5761","0.7827","0.3983","0.5632","0.5539","0.6153"
"SF3B1","splicing factor 3b subunit 1","0.5","0.4267","0.6522","0.5199","0.7015","0.7529","0.3462"
"ATL2","atlastin GTPase 2","0.5","0.7816","0.4676","0.8509","0.1847","0.0804","0.9427"
"KIAA1549L","KIAA1549 like","0.5","0.1548","0.5587","0.747","0.5782","0.1885","0.5886"
"RBSN","rabenosyn, RAB effector","0.5","0.3654","0.7892","0.9986","0.0654","0.327","0.2855"
"FAM19A3","family with sequence similarity 19 member A3, C-C motif chemokine like","0.5","0.7286","0.7969","0.8736","0.3762","0.5913","0.5061"
"VN1R4","vomeronasal 1 receptor 4","0.5","0.2376","0.7112","0.4868","0.0896","0.2948","0.3298"
"GABRD","gamma-aminobutyric acid type A receptor delta subunit","0.5","0.204","9e-04","0.0554","0.7153","0.4233","0.6091"
"PMEL","premelanosome protein","0.5","0.4287","0.589","0.9253","0.2152","0.1302","0.7566"
"HPGD","hydroxyprostaglandin dehydrogenase 15-(NAD)","0.5","0.7876","0.9521","0.9093","0.5368","0.4706","0.9354"
"TRMT12","tRNA methyltransferase 12 homolog","0.5","0.2731","0.4002","0.2236","0.6452","0.3171","0.2737"
"CHMP7","charged multivesicular body protein 7","0.5","0.3574","0.89","0.621","0.9873","0.3631","0.2329"
"GPR85","G protein-coupled receptor 85","0.5","0.0051","0.5958","0.9213","0.4048","0.7695","0.564"
"CNIH3","cornichon family AMPA receptor auxiliary protein 3","0.5","0.1669","0.1049","0.3445","0.9282","0.2146","0.6272"
"TWF1","twinfilin actin binding protein 1","0.5","0.2442","0.4424","0.5692","0.4077","0.0677","0.7884"
"CD164L2","CD164 molecule like 2","0.5","0.9444","0.3101","0.1895","0.9711","0.4927","0.959"
"OR10S1","olfactory receptor family 10 subfamily S member 1","0.5","0.6479","0.0797","0.8632","0.5485","0.9237","0.0352"
"MYO19","myosin XIX","0.5","0.1287","0.0318","0.6626","0.4982","0.5216","0.1656"
"OR14I1","olfactory receptor family 14 subfamily I member 1","0.5","0.0652","0.5018","0.696","0.7605","0.9602","0.537"
"EBLN2","endogenous Bornavirus-like nucleoprotein 2","0.5","0.1708","0.2792","0.5731","0.6405","0.2287","0.5295"
"CLEC3A","C-type lectin domain family 3 member A","0.5","0.5385","0.0191","0.8315","0.0662","0.1183","0.0318"
"C7orf43","chromosome 7 open reading frame 43","0.5","0.6221","0.5662","0.3346","0.0932","0.9322","0.7318"
"NMNAT3","nicotinamide nucleotide adenylyltransferase 3","0.5","0.5058","0.8413","0.1934","0.621","0.2284","0.2385"
"CBLN1","cerebellin 1 precursor","0.5","0.2901","0.8448","0.3816","0.6323","0.9059","0.4484"
"VAMP3","vesicle associated membrane protein 3","0.5","0.6591","0.6171","0.7077","0.9561","0.2299","0.4734"
"PPP1R14A","protein phosphatase 1 regulatory inhibitor subunit 14A","0.5","0.7065","0.3745","0.0012","0.6834","0.3411","0.9565"
"TRIM69","tripartite motif containing 69","0.5","0.3672","0.0282","0.519","0.9204","0.2869","0.6381"
"CCDC107","coiled-coil domain containing 107","0.5","0.6194","0.2684","0.9717","0.3474","0.4872","0.66"
"SIGLEC12","sialic acid binding Ig like lectin 12 (gene/pseudogene)","0.5","0.2341","0.5001","0.51","0.9357","0.8977","0.6206"
"ERV3-1","endogenous retrovirus group 3 member 1, envelope","0.5","0.0679","0.7008","0.286","0.3638","0.951","0.727"
"USP11","ubiquitin specific peptidase 11","0.5","0.0026","0.6233","0.2205","0.4117","0.2435","0.0375"
"TNFRSF4","TNF receptor superfamily member 4","0.5","0.5047","0.4104","0.6397","0.2825","0.4392","0.8616"
"SMPDL3B","sphingomyelin phosphodiesterase acid like 3B","0.5","0.8429","0.2916","0.7942","0.3933","0.618","0.3727"
"SCO2","SCO2, cytochrome c oxidase assembly protein","0.5","0.7157","0.8262","0.4513","0.9338","0.0781","0.788"
"PGK2","phosphoglycerate kinase 2","0.5","0.1745","0.9744","0.1985","0.4497","0.7386","0.0954"
"C10orf142","chromosome 10 open reading frame 142","0.5","0.1108","0.3436","0.4467","0.2608","0.3458","0.6658"
"PRSS38","protease, serine 38","0.5","0.6059","0.3526","0.7301","0.669","0.9893","0.1498"
"DDX3Y","DEAD-box helicase 3, Y-linked","0.5","0.643","0.0905","0.4019","0.4457","0.4962","0.3797"
"PSKH1","protein serine kinase H1","0.5","0.7735","0.6965","0.3237","0.5829","0.3465","0.8626"
"LPIN1","lipin 1","0.5","0.6351","0.9377","0.5579","0.0056","0.1806","0.5857"
"TMCO2","transmembrane and coiled-coil domains 2","0.5","0.7099","0.3407","0.494","0.9601","0.6932","0.229"
"PCDHGA8","protocadherin gamma subfamily A, 8","0.5","0.1895","0.9999","0.5093","0.0589","0.3969","0.2595"
"ABCA1","ATP binding cassette subfamily A member 1","0.5","0.7686","0.7407","0.0242","0.1463","0.158","0.1008"
"CDS2","CDP-diacylglycerol synthase 2","0.5","0.3521","0.9536","0.4461","0.9596","0.7564","0.1117"
"L2HGDH","L-2-hydroxyglutarate dehydrogenase","0.5","0.4409","0.5312","0.5201","0.506","0.0981","0.946"
"MZT1","mitotic spindle organizing protein 1","0.5","0.0716","0.3993","0.8881","0.2906","0.6329","0.3531"
"ANP32B","acidic nuclear phosphoprotein 32 family member B","0.5","0.6784","0.1777","0.7802","0.8569","0.1988","0.4167"
"MRO","maestro","0.5","0.0801","0.87","0.4097","0.0422","0.0788","0.8769"
"C10orf107","chromosome 10 open reading frame 107","0.5","0.8963","0.1545","0.9257","0.0657","0.163","0.0861"
"VEPH1","ventricular zone expressed PH domain containing 1","0.5","0.973","0.3253","0.2112","0.3885","0.1858","0.5638"
"IRAK1BP1","interleukin 1 receptor associated kinase 1 binding protein 1","0.5","0.7224","0.8658","0.8508","0.2657","0.3842","0.1096"
"GAGE12G","G antigen 12G","0.5","0.3489","0.4161","0.5822","0.7074","0.2325","0.7886"
"CLEC6A","C-type lectin domain containing 6A","0.5","0.0831","0.9572","0.7588","0.936","0.1925","0.6984"
"GLTP","glycolipid transfer protein","0.5","0.6553","0.8883","0.4286","0.3771","0.6599","0.5197"
"PNPLA6","patatin like phospholipase domain containing 6","0.5","0.7052","0.1898","0.8275","0.8308","0.4627","0.2231"
"LLGL1","LLGL1, scribble cell polarity complex component","0.5","0.27","0.6653","0.2257","0.5776","0.2806","0.53"
"NDUFA9","NADH:ubiquinone oxidoreductase subunit A9","0.5","0.4018","0.1197","0.8028","0.4027","0.1388","0.0132"
"TMPRSS4","transmembrane protease, serine 4","0.5","0.3755","0.2526","0.8255","0.3198","0.5189","0.4133"
"KIAA1614","KIAA1614","0.5","0.76","0.5146","0.1184","0.4927","0.2036","0.0116"
"PARP12","poly(ADP-ribose) polymerase family member 12","0.5","0.8329","0.4155","0.4093","0.3485","0.1802","0.7231"
"ST8SIA3","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3","0.5","0.307","0.9381","0.0848","0.167","0.1977","0.1365"
"RNASE13","ribonuclease A family member 13 (inactive)","0.5","0.2118","0.4405","0.4744","0.5551","0.1324","0.7743"
"ACSM6","acyl-CoA synthetase medium-chain family member 6","0.5","0.3554","0.4659","0.1591","0.3092","0.0982","0.1917"
"AHRR","aryl-hydrocarbon receptor repressor","0.5","0.1632","0.7319","0.9446","0.4432","0.887","0.8295"
"PRDM9","PR/SET domain 9","0.5","0.61","0.0572","0.1515","0.7661","0.5095","0.0118"
"VWC2L","von Willebrand factor C domain containing protein 2 like","0.5","0.5839","0.2638","0.677","0.2524","0.9268","0.9533"
"RSPRY1","ring finger and SPRY domain containing 1","0.5","0.8372","0.518","0.2365","0.4211","0.7002","0.7829"
"RPP25","ribonuclease P and MRP subunit p25","0.5","0.6917","0.3823","0.6358","0.9302","0.6784","0.7696"
"GRK3","G protein-coupled receptor kinase 3","0.5","0.1678","0.1983","0.5016","0.9422","0.3322","0.782"
"INSM2","INSM transcriptional repressor 2","0.5","0.9202","0.2937","0.9385","0.4544","0.9361","0.3081"
"TM9SF1","transmembrane 9 superfamily member 1","0.5","0.7805","0.6929","0.074","0.5631","0.5299","0.3986"
"TMEM89","transmembrane protein 89","0.5","0.61","0.2368","0.1623","0.1145","0.5339","0.1622"
"IL34","interleukin 34","0.5","0.3746","0.2781","0.2267","0.9227","0.9106","0.4402"
"SOWAHA","sosondowah ankyrin repeat domain family member A","0.5","0.2392","0.3906","0.9103","0.3066","0.8919","0.5531"
"ARHGAP21","Rho GTPase activating protein 21","0.5","0.5722","0.2016","0.389","0.6142","0.3503","0.0491"
"SZT2","seizure threshold 2 homolog (mouse)","0.5","0.004","0.9405","0.8516","0.2367","0.4614","0.494"
"GIT1","GIT ArfGAP 1","0.5","0.3622","0.3798","0.1274","0.1253","0.0586","0.7887"
"DEFB115","defensin beta 115","0.5","0.9704","0.4439","0.515","0.4041","0.1822","0.8075"
"ATP12A","ATPase H+/K+ transporting non-gastric alpha2 subunit","0.5","0.7886","0.1374","0.8824","0.0492","0.5336","0.2276"
"ZBTB38","zinc finger and BTB domain containing 38","0.5","0.673","0.1024","0.2123","0.4277","0.3007","0.3159"
"MET","MET proto-oncogene, receptor tyrosine kinase","0.5","0.1958","0.6067","0.1314","0.482","0.5165","0.7665"
"SYVN1","synoviolin 1","0.5","0.4949","0.3314","0.5303","0.6689","0.4318","0.4671"
"LRP11","LDL receptor related protein 11","0.5","0.3823","0.9265","0.2828","0.4521","0.1977","0.3893"
"NPFFR1","neuropeptide FF receptor 1","0.5","0.7435","0.1801","0.2912","0.5446","0.628","0.8027"
"C10orf10","chromosome 10 open reading frame 10","0.5","0.5503","0.2984","0.3242","0.0984","0.1683","0.477"
"BRD4","bromodomain containing 4","0.5","0.2482","0.2155","0.2247","0.6635","0.8974","0.8543"
"CT45A10","cancer/testis antigen family 45 member A10","0.5","0.7821","0.684","0.839","0.4337","0.6611","0.6083"
"TEX13A","testis expressed 13A","0.5","0.925","0.6233","0.5361","0.6307","0.1854","0.6162"
"EIF4EBP2","eukaryotic translation initiation factor 4E binding protein 2","0.5","0.3342","0.3514","0.2224","0.8325","0.491","0.9295"
"C14orf80","chromosome 14 open reading frame 80","0.5","0.7984","0.5288","0.7101","0.6874","0.8411","0.611"
"SLC26A4","solute carrier family 26 member 4","0.5","0.2405","0.4098","0.7553","0.7047","0.9761","0.5909"
"C1QTNF1","C1q and TNF related 1","0.5","0.8942","0.666","0.9622","0.1701","0.1399","0.0696"
"VHL","von Hippel-Lindau tumor suppressor","0.5","0.4272","0.6806","0.1253","0.2677","0.5617","0.9141"
"MYBPC3","myosin binding protein C, cardiac","0.5","0.5353","0.551","0.892","0.4068","0.5188","0.5685"
"RFXANK","regulatory factor X associated ankyrin containing protein","0.5","0.5573","0.3335","0.4693","0.4377","0.6681","0.4917"
"TMUB2","transmembrane and ubiquitin like domain containing 2","0.5","0.5873","0.4443","0.8765","0.0641","0.1458","0.4972"
"SPINK2","serine peptidase inhibitor, Kazal type 2","0.5","0.9284","0.2137","0.6744","0.2173","0.8624","0.8938"
"CASTOR1","cytosolic arginine sensor for mTORC1 subunit 1","0.5","0.5391","0.1755","0.4871","0.9761","0.571","0.3196"
"HLA-DQA1","major histocompatibility complex, class II, DQ alpha 1","0.5","0.5785","0.9538","0.4151","0.3728","0.711","0.7214"
"TIPARP","TCDD inducible poly(ADP-ribose) polymerase","0.5","0.2658","0.1732","0.5762","0.6956","0.889","0.8247"
"EME1","essential meiotic structure-specific endonuclease 1","0.5","0.9306","0.1937","0.4466","0.3702","0.9019","0.1695"
"OTUB1","OTU deubiquitinase, ubiquitin aldehyde binding 1","0.5","0.1737","0.2234","0.1182","0.5742","0.472","0.8747"
"SLC35B1","solute carrier family 35 member B1","0.5","0.2041","0.0551","0.1369","0.1385","0.4988","0.5453"
"ADAMTSL1","ADAMTS like 1","0.5","0.3312","0.4683","0.5683","0.4092","0.2975","0.8103"
"OPTN","optineurin","0.5","0.4946","0.1129","0.0772","0.8481","0.0381","0.6659"
"EPHB6","EPH receptor B6","0.5","0.663","0.3863","0.0351","0.2688","0.0959","0.333"
"ABHD13","abhydrolase domain containing 13","0.5","0.9635","0.1305","0.0309","0.5478","0.7805","0.8301"
"ULBP2","UL16 binding protein 2","0.5","0.6991","0.1014","0.7677","0.9464","0.0328","0.4223"
"ARVCF","armadillo repeat gene deleted in velocardiofacial syndrome","0.5","0.6535","0.5866","0.1046","0.1921","0.7679","0.6138"
"C9orf131","chromosome 9 open reading frame 131","0.5","0.8561","0.3164","0.7686","0.8443","0.89","0.8706"
"FBXW11","F-box and WD repeat domain containing 11","0.5","0.1041","0.5631","0.0666","0.8805","0.0399","0.469"
"HSBP1","heat shock factor binding protein 1","0.5","0.8246","0.1823","0.9499","0.6424","0.4159","0.3501"
"PLSCR3","phospholipid scramblase 3","0.5","0.7277","0.9241","0.9874","0.1267","0.7825","0.6061"
"GTF2A1","general transcription factor IIA subunit 1","0.5","0.3639","0.7962","0.4539","0.9379","0.2519","0.6921"
"EIF4EBP3","eukaryotic translation initiation factor 4E binding protein 3","0.5","0.9835","0.1887","0.5887","0.7236","0.2602","0.909"
"ERVW-1","endogenous retrovirus group W member 1, envelope","0.5","0.0789","0.4501","0.1112","0.8372","0.7604","0.5183"
"VSIG2","V-set and immunoglobulin domain containing 2","0.5","0.698","0.3774","0.0679","0.9021","0.6693","0.2689"
"MLLT3","MLLT3, super elongation complex subunit","0.5","0.1412","0.7335","0.7981","0.8897","0.6948","0.7478"
"CCL24","C-C motif chemokine ligand 24","0.5","0.8298","0.6803","0.9677","0.2222","0.6576","0.1787"
"WDR53","WD repeat domain 53","0.5","0.0244","0.9729","0.0516","0.7076","0.403","0.3536"
"FANCL","Fanconi anemia complementation group L","0.5","0.6728","0.9619","0.873","0.119","0.4824","0.1751"
"CYP26B1","cytochrome P450 family 26 subfamily B member 1","0.5","0.8094","0.7066","0.9502","0.2801","0.9343","0.0459"
"SLC25A38","solute carrier family 25 member 38","0.5","0.0205","0.3505","0.7159","0.2025","0.6825","0.9436"
"ESPN","espin","0.5","0.9484","0.0227","0.2811","0.4603","0.6781","0.6861"
"PSAT1","phosphoserine aminotransferase 1","0.5","0.9523","0.9813","0.5248","0.7528","0.3574","0.8038"
"DIAPH1","diaphanous related formin 1","0.5","0.4444","0.9901","0.9542","0.5612","0.0727","0.6051"
"HIST1H4K","histone cluster 1 H4 family member k","0.5","0.0348","0.5033","0.0485","0.3744","0.8039","0.0941"
"ASCL4","achaete-scute family bHLH transcription factor 4","0.5","0.0409","0.3752","0.7063","0.8226","0.6281","0.0279"
"NXN","nucleoredoxin","0.5","0.8671","0.3113","0.474","0.9839","0.5404","0.2897"
"SHROOM1","shroom family member 1","0.5","0.4712","0.9147","0.6825","0.92","0.2618","0.2454"
"C8orf48","chromosome 8 open reading frame 48","0.5","0.7113","0.9097","0.2937","0.8953","0.0499","0.1584"
"LMAN1L","lectin, mannose binding 1 like","0.5","0.5189","0.2921","0.232","0.0653","0.1901","0.5852"
"RCHY1","ring finger and CHY zinc finger domain containing 1","0.5","0.5642","0.3519","0.5653","0.3065","0.8539","0.3817"
"FOXL2","forkhead box L2","0.5","0.249","0.603","0.97","0.0039","0.6824","0.1397"
"MAPK9","mitogen-activated protein kinase 9","0.5","0.1834","0.4866","0.01","0.0651","0.2238","0.189"
"GLP2R","glucagon like peptide 2 receptor","0.5","0.9155","0.8429","0.0506","0.445","0.6912","0.7342"
"USPL1","ubiquitin specific peptidase like 1","0.5","0.0623","0.1324","0.3585","0.3926","0.9364","0.1097"
"ZNF576","zinc finger protein 576","0.5","0.7637","0.847","0.2049","0.801","0.5006","0.9554"
"MYOF","myoferlin","0.5","0.68","0.6277","0.4915","0.8797","0.8007","0.0733"
"STARD5","StAR related lipid transfer domain containing 5","0.5","0.4729","0.2314","0.6217","0.0342","0.5381","0.7212"
"MTG1","mitochondrial ribosome associated GTPase 1","0.5","0.5944","0.9918","0.0197","0.0788","0.2621","0.2165"
"TFF1","trefoil factor 1","0.5","0.2163","0.8655","0.9364","0.8636","0.6142","0.1493"
"MAD2L2","mitotic arrest deficient 2 like 2","0.5","0.022","0.24","0.6014","0.5674","0.4136","0.4375"
"CLEC2L","C-type lectin domain family 2 member L","0.5","0.7996","0.3206","0.6276","0.1205","0.7285","0.4492"
"OR4F15","olfactory receptor family 4 subfamily F member 15","0.5","0.5282","0.369","0.2145","0.2243","0.5355","0.0984"
"COX15","COX15, cytochrome c oxidase assembly homolog","0.5","0.7339","0.0083","0.8248","0.262","0.7614","0.1658"
"BBOX1","gamma-butyrobetaine hydroxylase 1","0.5","0.1162","0.4609","0.231","0.3859","0.7138","0.3121"
"STXBP5L","syntaxin binding protein 5 like","0.5","0.504","0.0277","0.2763","0.9274","0.8042","0.1871"
"OR4X1","olfactory receptor family 4 subfamily X member 1 (gene/pseudogene)","0.5","0.371","0.7075","0.0328","0.1699","0.0381","0.4069"
"GNA14","G protein subunit alpha 14","0.5","0.7317","0.0421","0.7","0.9883","0.7257","0.3735"
"FAM131A","family with sequence similarity 131 member A","0.5","0.6706","0.2397","0.2397","0.7864","0.0126","0.1118"
"RGMA","repulsive guidance molecule family member a","0.5","0.3119","0.7565","0.8932","0.457","0.5274","0.4212"
"ARL3","ADP ribosylation factor like GTPase 3","0.5","0.7429","0.2519","0.4017","0.6023","0.9461","0.4786"
"PTCRA","pre T-cell antigen receptor alpha","0.5","0.8881","0.0039","0.3572","0.1348","0.8918","0.2091"
"CCL27","C-C motif chemokine ligand 27","0.5","0.9743","0.239","0.5344","0.449","0.0512","0.3647"
"RPRD1A","regulation of nuclear pre-mRNA domain containing 1A","0.5","0.4754","0.4997","0.2035","0.6303","0.637","0.2212"
"CCDC51","coiled-coil domain containing 51","0.5","0.3914","0.86","0.4463","0.1481","0.4995","0.1963"
"FITM1","fat storage inducing transmembrane protein 1","0.5","0.1795","0.966","0.9586","0.277","0.6936","0.8578"
"KRTAP19-4","keratin associated protein 19-4","0.5","0.7745","0.7956","0.5985","0.8824","0.7446","0.2715"
"CTRB2","chymotrypsinogen B2","0.5","0.2476","0.5739","0.1767","0.6339","0.3591","0.2577"
"PRIMA1","proline rich membrane anchor 1","0.5","0.9258","0.3773","0.6653","0.434","0.1581","0.1435"
"KCTD3","potassium channel tetramerization domain containing 3","0.5","0.0684","0.6238","0.2553","0.1575","0.9933","0.5019"
"SPINT1","serine peptidase inhibitor, Kunitz type 1","0.5","0.8311","0.9474","0.9792","0.476","0.1635","0.8099"
"ARRDC5","arrestin domain containing 5","0.5","0.7431","0.2083","0.2479","0.8583","0.9556","0.7995"
"KCTD6","potassium channel tetramerization domain containing 6","0.5","0.0238","0.0189","0.3756","0.1572","0.5446","0.1907"
"GLMN","glomulin, FKBP associated protein","0.5","0.7846","0.8306","0.6649","0.9811","0.9735","0.6529"
"FAAH","fatty acid amide hydrolase","0.5","0.7375","0.8435","0.8788","0.7941","0.5938","0.6807"
"PON1","paraoxonase 1","0.5","0.6238","0.5683","0.5339","0.2346","0.123","0.1207"
"ERBIN","erbb2 interacting protein","0.5","0.0226","0.6739","0.6382","0.3314","0.4101","0.6351"
"ZNF771","zinc finger protein 771","0.5","0.5507","0.0823","0.1456","0.8474","0.8386","0.3473"
"HCST","hematopoietic cell signal transducer","0.5","0.6159","0.5278","0.7312","0.204","0.4189","0.6326"
"FAM98A","family with sequence similarity 98 member A","0.5","0.2638","0.7776","0.2159","0.0409","0.3233","0.208"
"C19orf47","chromosome 19 open reading frame 47","0.5","0.8483","0.7962","0.0852","0.9646","0.0665","0.3409"
"ANGEL1","angel homolog 1","0.5","0.9533","0.5349","0.0311","0.0594","0.3944","0.4054"
"TMEM261","transmembrane protein 261","0.5","0.4288","0.3328","0.0427","0.6449","0.9018","0.9568"
"GPATCH2","G-patch domain containing 2","0.5","0.2946","0.7714","0.9239","0.1661","0.1112","0.4845"
"IRF8","interferon regulatory factor 8","0.5","0.668","0.4474","0.2755","0.0859","0.0169","0.7106"
"IFRD2","interferon related developmental regulator 2","0.5","0.5929","0.9385","0.6994","0.6231","0.9023","0.6941"
"TMEM136","transmembrane protein 136","0.5","0.8023","0.6753","0.9294","0.0834","0.1836","0.5787"
"STOM","stomatin","0.5","0.3779","0.429","0.5709","0.2269","0.9133","0.0405"
"MNX1","motor neuron and pancreas homeobox 1","0.5","0.169","0.1044","0.679","0.4778","0.7927","0.2367"
"HIBADH","3-hydroxyisobutyrate dehydrogenase","0.5","0.6365","0.2725","0.1278","0.519","0.835","0.186"
"ABCF1","ATP binding cassette subfamily F member 1","0.5","0.7638","0.1698","0.988","0.3042","0.7337","0.8652"
"HIST1H2BB","histone cluster 1 H2B family member b","0.5","0.7099","0.4994","0.7442","0.3904","0.2959","0.3743"
"CANX","calnexin","0.5","0.2389","0.4706","0.6668","0.1124","0.5519","0.6272"
"ZNF34","zinc finger protein 34","0.5","0.7666","0.751","0.2969","0.1016","0.7411","0.2804"
"C1QA","complement C1q A chain","0.5","0.5246","0.5976","0.7935","0.1446","0.2325","0.2567"
"SNX24","sorting nexin 24","0.5","0.5194","0.5931","0.6376","0.8812","0.6252","0.9928"
"GRHL3","grainyhead like transcription factor 3","0.5","0.0345","0.1477","0.8904","0.1048","0.6442","0.4664"
"FBXO28","F-box protein 28","0.5","0.984","0.9811","0.1685","0.3372","0.0699","0.3835"
"ST3GAL1","ST3 beta-galactoside alpha-2,3-sialyltransferase 1","0.5","0.3411","0.6215","0.4267","0.3596","0.9058","0.0417"
"CCR6","C-C motif chemokine receptor 6","0.5","0.2351","0.4579","0.679","0.3167","0.7566","0.5428"
"IL17F","interleukin 17F","0.5","0.8637","0.881","0.7911","0.2735","0.1597","0.8905"
"C2orf68","chromosome 2 open reading frame 68","0.5","0.0911","0.7729","0.4908","0.4236","0.8803","0.9358"
"UQCR10","ubiquinol-cytochrome c reductase, complex III subunit X","0.5","0.0534","0.9332","0.1127","0.4679","0.5315","0.6549"
"PNCK","pregnancy up-regulated nonubiquitous CaM kinase","0.5","0.3405","0.8644","0.8165","0.5581","0.5224","0.9363"
"SUN2","Sad1 and UNC84 domain containing 2","0.5","0.8082","0.782","0.7233","0.0774","0.3855","0.5592"
"PRRT3","proline rich transmembrane protein 3","0.5","0.7853","0.2132","0.7102","0.4128","0.5721","0.086"
"TXNRD1","thioredoxin reductase 1","0.5","0.1606","0.7198","0.873","0.6056","0.1533","0.1741"
"CCDC126","coiled-coil domain containing 126","0.5","0.3352","0.7156","0.1021","0.1724","0.7479","0.0919"
