"Accession","Description","0hr","2hr","6hr","12hr","24hr","48hr","72hr"
"FOXM1","forkhead box M1","0.5","0.9474","0.9238","0.4637","0.994","0.0863","0.4105"
"MORC2","MORC family CW-type zinc finger 2","0.5","0.1905","0.8899","0.8397","0.7708","0.9301","0.8772"
"NUDCD1","NudC domain containing 1","0.5","0.5226","0.2881","0.5503","0.9419","0.1122","0.0404"
"UBE2R2","ubiquitin conjugating enzyme E2 R2","0.5","0.0375","0.4647","0.5303","0.473","0.0546","0.424"
"UCHL5","ubiquitin C-terminal hydrolase L5","0.5","0.7552","0.5306","0.5584","0.6267","0.5672","0.4595"
"RNF149","ring finger protein 149","0.5","0.4614","0.472","0.0751","0.4485","0.4135","0.42"
"CELSR1","cadherin EGF LAG seven-pass G-type receptor 1","0.5","0.2796","0.3432","0.2226","0.522","0.0226","0.3853"
"SFXN3","sideroflexin 3","0.5","0.2062","0.2388","0.6769","0.1821","0.4119","0.4249"
"ACVR1B","activin A receptor type 1B","0.5","0.7984","0.6998","0.6684","0.1475","0.2056","0.0456"
"GLIS3","GLIS family zinc finger 3","0.5","0.3604","0.4703","0.0411","0.1515","0.5858","0.8391"
"OR10AC1","olfactory receptor family 10 subfamily AC member 1 (gene/pseudogene)","0.5","0.6858","0.36","0.5795","0.8153","0.7523","0.4122"
"INO80E","INO80 complex subunit E","0.5","0.0956","0.4983","0.0157","0.8013","0.919","0.0995"
"CCL16","C-C motif chemokine ligand 16","0.5","0.1712","0.0709","0.9068","0.9864","0.6929","0.7597"
"MID2","midline 2","0.5","0.1543","0.1206","0.2","0.7095","0.8277","0.5005"
"RAMP1","receptor activity modifying protein 1","0.5","0.458","0.1854","0.5962","0.8136","0.7471","0.33"
"RYK","receptor-like tyrosine kinase","0.5","0.1896","0.9988","0.5358","0.43","0.1429","0.3309"
"ALCAM","activated leukocyte cell adhesion molecule","0.5","0.7619","0.5","0.8707","0.9408","0.3513","0.9612"
"ZMYND19","zinc finger MYND-type containing 19","0.5","0.0375","0.0834","0.0471","0.9597","0.0574","0.6585"
"ZBTB14","zinc finger and BTB domain containing 14","0.5","0.6518","0.9256","0.4556","0.1516","0.7932","0.942"
"FADS3","fatty acid desaturase 3","0.5","0.1505","0.4481","0.3995","0.5995","0.5627","0.7134"
"KRTAP9-9","keratin associated protein 9-9","0.5","0.1014","0.4381","0.5714","0.1073","0.0394","0.2059"
"NOTCH2","notch 2","0.5","0.1935","0.6748","0.2283","0.2268","0.5111","0.6321"
"CT47B1","cancer/testis antigen family 47, member B1","0.5","0.9662","0.1872","0.2373","0.2348","0.9037","0.361"
"OR5C1","olfactory receptor family 5 subfamily C member 1","0.5","0.0245","0.6406","0.6144","0.5377","0.7264","0.2176"
"TSACC","TSSK6 activating cochaperone","0.5","0.149","0.1454","0.5748","0.4503","0.7957","0.5772"
"RFPL2","ret finger protein like 2","0.5","0.8624","0.4421","0.795","0.1121","0.5026","0.2933"
"C14orf159","chromosome 14 open reading frame 159","0.5","0.7119","0.8316","0.6997","0.4461","0.7284","0.1048"
"PLIN1","perilipin 1","0.5","0.2848","0.4424","0.0639","0.2704","0.9439","0.1165"
"SLC8A2","solute carrier family 8 member A2","0.5","0.7742","0.3063","0.0918","0.8643","0.4645","0.4821"
"CALU","calumenin","0.5","0.5733","0.8692","0.0433","0.0975","0.6858","0.5968"
"ARHGEF11","Rho guanine nucleotide exchange factor 11","0.5","0.0095","0.3553","0.2619","0.9472","0.2701","0.9835"
"TMA16","translation machinery associated 16 homolog","0.5","0.8717","0.9006","0.9771","0.3822","0.3152","0.2261"
"RAP2B","RAP2B, member of RAS oncogene family","0.5","0.7137","0.04","0.1451","0.8213","0.3418","0.0516"
"B4GALT1","beta-1,4-galactosyltransferase 1","0.5","0.4924","0.0821","0.0515","0.9784","0.0309","0.9309"
"LPGAT1","lysophosphatidylglycerol acyltransferase 1","0.5","0.5151","0.3759","0.3105","0.7524","0.3591","0.4553"
"TGM6","transglutaminase 6","0.5","0.4263","0.9253","0.0477","0.2236","0.1256","0.0696"
"LILRA5","leukocyte immunoglobulin like receptor A5","0.5","0.0211","0.9512","0.7018","0.5749","0.7651","0.4599"
"PECR","peroxisomal trans-2-enoyl-CoA reductase","0.5","0.4976","0.3405","0.2323","0.2604","0.0278","0.6368"
"TMEM219","transmembrane protein 219","0.5","0.686","0.9511","0.8812","0.2717","0.0151","0.42"
"SBF2","SET binding factor 2","0.5","0.8862","0.7671","0.8851","0.7994","0.742","0.0716"
"C19orf57","chromosome 19 open reading frame 57","0.5","0.0239","0.6766","0.5739","0.2032","0.7388","0.1384"
"GCLM","glutamate-cysteine ligase modifier subunit","0.5","0.617","0.1959","0.3336","0.1836","0.5593","0.2564"
"MUC6","mucin 6, oligomeric mucus/gel-forming","0.5","0.5418","0.2485","0.6467","0.2165","0.3288","0.7279"
"TNN","tenascin N","0.5","0.3072","0.5925","0.3503","0.491","0.3479","0.8647"
"ABR","active BCR-related","0.5","0.7642","0.8672","0.182","0.8297","0.6313","0.7663"
"EMP2","epithelial membrane protein 2","0.5","0.224","0.4203","0.9133","0.2219","0.4275","0.4698"
"SLC25A46","solute carrier family 25 member 46","0.5","0.8286","0.7136","0.9394","0.3218","0.0127","0.1769"
"VASH2","vasohibin 2","0.5","0.7532","0.9072","0.97","0.6231","0.6526","0.0462"
"STRAP","serine/threonine kinase receptor associated protein","0.5","0.0639","0.1529","0.7854","0.5276","0.6173","0.3523"
"EAPP","E2F associated phosphoprotein","0.5","0.8518","0.3468","0.7474","0.6275","0.2283","0.868"
"RANBP3","RAN binding protein 3","0.5","0.3146","0.1424","0.8168","0.6635","0.1403","0.649"
"CCNY","cyclin Y","0.5","0.1121","0.7584","0.6742","0.5722","0.7407","0.1545"
"CCDC136","coiled-coil domain containing 136","0.5","0.71","0.9095","0.6998","0.9196","0.7436","0.3089"
"CER1","cerberus 1, DAN family BMP antagonist","0.5","0.1004","0.1061","0.148","0.9279","0.0228","0.3573"
"ZFP92","ZFP92 zinc finger protein","0.5","0.858","0.0543","0.9459","0.4096","0.8411","0.6173"
"DCX","doublecortin","0.5","0.0287","0.3068","0.5585","0.6948","0.4719","0.1989"
"NT5C3A","5'-nucleotidase, cytosolic IIIA","0.5","0.814","0.9665","0.562","0.9046","0.505","0.8162"
"USF1","upstream transcription factor 1","0.5","0.601","0.3422","0.8198","0.7844","0.4715","0.3602"
"BIVM","basic, immunoglobulin-like variable motif containing","0.5","0.5527","0.0542","0.6985","0.941","0.5857","0.6332"
"NTSR1","neurotensin receptor 1","0.5","0.2163","0.4631","0.5435","0.8482","0.3093","0.9083"
"ABCA13","ATP binding cassette subfamily A member 13","0.5","0.1766","0.465","0.4067","0.8085","0.5336","0.6348"
"SEMA4B","semaphorin 4B","0.5","0.7188","0.5172","0.053","0.8101","0.1461","0.1935"
"KRT34","keratin 34","0.5","0.2691","0.3149","0.6272","0.3857","0.1576","0.6474"
"OR8K5","olfactory receptor family 8 subfamily K member 5","0.5","0.24","0.0839","0.293","0.5327","0.6445","0.1792"
"EIF2B2","eukaryotic translation initiation factor 2B subunit beta","0.5","0.0928","0.775","0.481","0.6414","0.2389","0.9905"
"KRTAP5-8","keratin associated protein 5-8","0.5","0.5872","0.9126","0.7696","0.7827","0.405","0.0673"
"MTA3","metastasis associated 1 family member 3","0.5","0.6683","0.0472","0.7952","0.255","0.408","0.8096"
"DKK1","dickkopf WNT signaling pathway inhibitor 1","0.5","0.0825","0.5549","0.4531","0.4332","0.571","0.0529"
"AURKA","aurora kinase A","0.5","0.8503","0.7901","0.5636","0.8571","0.9111","0.4765"
"CARTPT","CART prepropeptide","0.5","0.5985","0.7552","0.0063","0.0437","0.6537","0.8959"
"APOH","apolipoprotein H","0.5","0.5488","0.3752","0.5879","0.6418","0.6448","0.6372"
"KRTCAP2","keratinocyte associated protein 2","0.5","0.987","0.2702","0.8854","0.2836","0.0094","0.9159"
"PDCD1","programmed cell death 1","0.5","0.4861","0.6498","0.6569","0.8906","0.4638","0.7455"
"M6PR","mannose-6-phosphate receptor, cation dependent","0.5","0.8901","0.3188","0.3632","0.934","0.0993","0.6559"
"TSPY4","testis specific protein, Y-linked 4","0.5","0.7015","0.7951","0.0668","0.8715","0.5439","0.5788"
"STK3","serine/threonine kinase 3","0.5","0.6679","0.3607","0.7284","0.0434","0.9109","0.4987"
"ZSWIM8","zinc finger SWIM-type containing 8","0.5","0.2582","0.1861","0.3985","0.3957","0.1836","0.0291"
"EID2B","EP300 interacting inhibitor of differentiation 2B","0.5","0.002","0.6304","0.3307","0.8441","0.286","0.1837"
"PADI1","peptidyl arginine deiminase 1","0.5","0.9838","0.5438","0.1247","0.9829","0.459","0.4558"
"ZNF763","zinc finger protein 763","0.5","0.1287","0.56","0.868","0.0562","0.3882","0.1367"
"SPRY3","sprouty RTK signaling antagonist 3","0.5","0.4967","0.2327","0.6314","0.2668","0.1347","0.2614"
"FOLH1","folate hydrolase 1","0.5","0.6994","0.814","0.2043","0.4334","0.4028","0.0694"
"PTP4A3","protein tyrosine phosphatase type IVA, member 3","0.5","0.2455","0.8921","0.4761","0.6568","0.1927","0.7848"
"ZW10","zw10 kinetochore protein","0.5","0.3762","0.7465","0.7571","0.318","0.3669","0.7053"
"FAM231B","family with sequence similarity 231 member B","0.5","0.9022","0.2581","0.9677","0.2778","0.5809","0.2442"
"TENM2","teneurin transmembrane protein 2","0.5","0.8711","0.1569","0.5652","0.9069","0.6698","0.1292"
"FABP1","fatty acid binding protein 1","0.5","0.1835","0.3132","0.9407","0.203","0.5852","0.7855"
"ZNF765","zinc finger protein 765","0.5","0.5571","0.4486","0.58","0.8481","0.0328","0.9375"
"EXOC5","exocyst complex component 5","0.5","0.4543","0.593","0.6626","0.1321","0.8351","0.3538"
"FAM227B","family with sequence similarity 227 member B","0.5","0.4732","0.7928","0.073","0.7921","0.5546","0.7429"
"VPS37D","VPS37D, ESCRT-I subunit","0.5","0.3587","0.7083","0.261","0.1155","0.8249","0.8028"
"UBL4B","ubiquitin like 4B","0.5","0.2021","0.664","0.0671","0.9207","0.8682","0.1753"
"ITIH4","inter-alpha-trypsin inhibitor heavy chain family member 4","0.5","0.5178","0.2724","0.4253","0.5147","0.9067","0.0612"
"GPR132","G protein-coupled receptor 132","0.5","0.2449","0.8169","0.5756","0.0026","0.5326","0.1267"
"MALT1","MALT1 paracaspase","0.5","0.1138","0.0211","0.7631","0.031","0.1544","0.0021"
"UBXN10","UBX domain protein 10","0.5","0.988","0.4899","0.6814","0.2526","0.7407","0.306"
"PSMC6","proteasome 26S subunit, ATPase 6","0.5","0.6752","0.7148","0.1974","0.4912","0.5416","0.1387"
"RPS2","ribosomal protein S2","0.5","0.1802","0.3028","0.8846","0.6123","0.968","0.0296"
"GPR6","G protein-coupled receptor 6","0.5","0.1489","0.8503","0.1982","0.715","0.9342","0.7596"
"LFNG","LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase","0.5","0.5382","0.5169","0.2969","0.1042","0.0616","0.483"
"FAM104B","family with sequence similarity 104 member B","0.5","0.3729","0.3891","0.8914","0.5186","0.944","0.5939"
"HHLA2","HERV-H LTR-associating 2","0.5","0.2466","0.5544","0.0456","0.7666","0.3787","0.8628"
"C10orf25","chromosome 10 open reading frame 25","0.5","0.7291","0.0497","0.3926","0.7941","0.4162","0.6064"
"B3GNT7","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7","0.5","0.62","0.3153","0.3582","0.0606","0.6505","0.8164"
"SIRT3","sirtuin 3","0.5","0.8013","0.119","0.4116","0.2997","0.7682","0.955"
"PSMB1","proteasome subunit beta 1","0.5","0.2035","0.1251","0.6329","0.2925","0.6352","0.5291"
"MAP3K14","mitogen-activated protein kinase kinase kinase 14","0.5","0.7851","0.265","0.6219","0.9119","0.2587","0.7957"
"FAM20A","FAM20A, golgi associated secretory pathway pseudokinase","0.5","0.7659","0.796","0.9787","0.5161","0.5198","0.5913"
"CLPTM1L","CLPTM1 like","0.5","0.4971","0.3157","0.5844","0.3408","0.6303","0.158"
"LRMP","lymphoid restricted membrane protein","0.5","0.4512","0.7942","0.4677","0.7624","0.4461","0.9271"
"CLPS","colipase","0.5","0.4547","0.3063","0.7667","0.4343","0.0831","0.3873"
"RPS13","ribosomal protein S13","0.5","0.7371","0.694","0.9686","0.8872","0.133","0.8611"
"ARL9","ADP ribosylation factor like GTPase 9","0.5","0.5366","0.6243","0.3753","0.4075","0.0335","0.5247"
"FRMD4A","FERM domain containing 4A","0.5","0.09","0.6761","0.3487","0.4519","0.8918","0.6567"
"FAM129A","family with sequence similarity 129 member A","0.5","0.8051","0.4243","0.8484","0.5093","0.3738","0.5648"
"LETM2","leucine zipper and EF-hand containing transmembrane protein 2","0.5","0.8278","0.3153","0.4047","0.1533","0.1338","0.9355"
"CPA4","carboxypeptidase A4","0.5","0.3998","0.9697","0.0649","0.8701","0.3726","0.3954"
"TATDN1","TatD DNase domain containing 1","0.5","0.1512","0.303","0.6859","0.5252","0.6636","0.1354"
"FBRSL1","fibrosin like 1","0.5","0.778","0.441","0.6416","0.45","0.0595","0.3941"
"ACOD1","aconitate decarboxylase 1","0.5","0.8054","0.9177","0.0895","0.8373","0.7424","0.1312"
"B3GLCT","beta 3-glucosyltransferase","0.5","0.2935","0.6711","0.9256","0.3057","0.4441","0.1783"
"ABCB9","ATP binding cassette subfamily B member 9","0.5","0.411","0.2763","0.6075","0.3618","0.0638","0.2951"
"C15orf65","chromosome 15 open reading frame 65","0.5","0.4283","0.7618","0.2533","0.7324","0.584","0.3269"
"CCDC33","coiled-coil domain containing 33","0.5","0.4492","0.1685","0.3018","0.5321","0.7404","0.0805"
"PPP1R1C","protein phosphatase 1 regulatory inhibitor subunit 1C","0.5","0.674","0.7398","0.0427","0.5455","0.1188","0.8895"
"CD163L1","CD163 molecule like 1","0.5","0.4973","0.8998","0.2336","0.8852","0.4223","0.0985"
"PALMD","palmdelphin","0.5","0.3857","0.4402","0.0928","0.5559","0.3407","0.8362"
"SELENOH","selenoprotein H","0.5","0.5523","0.3117","0.83","0.2511","0.5949","0.7027"
"TPD52L3","tumor protein D52 like 3","0.5","0.1004","0.4312","0.0187","0.017","0.8758","0.4891"
"NFAM1","NFAT activating protein with ITAM motif 1","0.5","0.1024","0.0542","0.209","0.8857","0.1447","0.4243"
"ARC","activity regulated cytoskeleton associated protein","0.5","0.7211","0.1238","0.561","0.5262","0.9193","0.88"
"TMEM247","transmembrane protein 247","0.5","0.2551","0.7375","0.4501","0.9848","0.1438","0.2528"
"DEFB131B","defensin beta 131B","0.5","0.8301","0.1553","0.3358","0.7522","0.8705","0.3447"
"WDR59","WD repeat domain 59","0.5","0.9887","0.4178","0.5885","0.4312","0.1399","0.8607"
"ACTN3","actinin alpha 3 (gene/pseudogene)","0.5","0.249","0.1373","0.4988","0.0178","0.6885","0.1328"
"RPTN","repetin","0.5","0.737","0.7711","0.8577","0.688","0.9648","0.5455"
"GAGE2D","G antigen 2D","0.5","0.9203","0.1375","0.5752","0.6929","0.6052","0.7953"
"MRPL17","mitochondrial ribosomal protein L17","0.5","0.6636","0.043","0.7196","0.1834","0.0994","0.1395"
"PIAS1","protein inhibitor of activated STAT 1","0.5","0.1223","0.4852","0.4116","0.1651","0.9213","0.1102"
"GNPAT","glyceronephosphate O-acyltransferase","0.5","0.9049","0.2057","0.2866","0.538","0.7628","0.2231"
"TAPBPL","TAP binding protein like","0.5","0.6242","0.5449","0.692","0.8763","0.0078","0.7961"
"MRGPRX2","MAS related GPR family member X2","0.5","0.4392","0.5371","0.0575","0.7899","0.7794","0.921"
"TMEM59L","transmembrane protein 59 like","0.5","0.3966","0.9557","0.0127","0.6461","0.663","0.5879"
"KLHL21","kelch like family member 21","0.5","0.4544","0.8462","0.5097","0.8242","0.7015","0.502"
"LRRC28","leucine rich repeat containing 28","0.5","0.4451","0.8064","0.8115","0.4135","0.8375","0.3595"
"MMP28","matrix metallopeptidase 28","0.5","0.0188","0.8845","0.4153","0.8493","0.6968","0.2958"
"GIP","gastric inhibitory polypeptide","0.5","0.3167","0.6716","0.672","0.1607","0.9769","0.7154"
"OR1A2","olfactory receptor family 1 subfamily A member 2","0.5","0.7079","0.3543","0.8206","0.2151","0.7579","0.1321"
"FAM92A","family with sequence similarity 92 member A","0.5","0.108","0.2276","0.6889","0.0028","0.958","0.77"
"RPS15","ribosomal protein S15","0.5","0.071","0.1371","0.0687","0.5295","0.4382","0.2431"
"CHCHD4","coiled-coil-helix-coiled-coil-helix domain containing 4","0.5","0.9991","0.3932","0.0021","0.3759","0.5216","0.2056"
"TJP1","tight junction protein 1","0.5","0.0919","0.9085","0.4065","0.3246","0.8858","0.8012"
"FZD10","frizzled class receptor 10","0.5","0.4914","0.6068","0.39","0.5206","0.7707","0.021"
"P2RY8","purinergic receptor P2Y8","0.5","0.5814","0.2174","0.4802","0.2107","0.4348","0.8157"
"CAPS","calcyphosine","0.5","0.5641","0.0835","0.8974","0.4314","0.5881","0.9858"
"RENBP","renin binding protein","0.5","0.7522","0.9582","0.6836","0.5785","0.5513","0.8403"
"MMS19","MMS19 homolog, cytosolic iron-sulfur assembly component","0.5","0.0247","0.5563","0.8346","0.5138","0.4683","0.7716"
"KANK2","KN motif and ankyrin repeat domains 2","0.5","0.9025","0.6759","0.6815","0.9836","0.742","0.3855"
"COPRS","coordinator of PRMT5 and differentiation stimulator","0.5","0.9494","0.9854","0.3043","0.4044","0.9074","0.9377"
